ad_id,ad_name,long_version_video_id,short_version_video_id
323,sironizing-begnaw,1596,871
324,escortage-postliminious,1116,1489
325,dissemination-upwardness,365,62
326,manjack-intenerates,1399,1126
327,routed-momzers,1075,703
328,minutely-nostoc,191,210
329,veneer-rekeyboarding,23,1756
330,hoodia-sociopaths,1009,596
331,coxal-trammel,673,1348
332,skeining-spellings,1437,188
333,boobyish-entombed,456,1667
334,outmantles-invertor,414,1593
335,beastly-clitella,642,1072
336,pelorias-madrepore,754,239
337,tirednesses-adjoin,1166,1982
338,squalors-audiograph,1874,1750
339,operagoers-banderilleros,380,1616
340,corybant-kipp,223,1239
341,oiks-expectedness,609,1459
342,overbearing-cadie,986,1094
343,footered-vespertinal,294,1580
344,otiosities-benzols,67,501
345,lumpinesses-pursing,905,1393
346,subatoms-tweezed,77,1950
347,caravaneer-trevisses,272,1010
348,uranite-apolipoprotein,862,705
349,boozing-mispenned,28,1068
350,linocuts-phlebosclerosis,873,83
351,brik-skeptically,1074,851
352,glueball-tache,483,289
353,missionisations-hypercharging,175,1389
354,exploited-conkers,1379,1128
355,influential-screensaver,594,196
356,asquat-waybreads,1356,1362
357,antefixes-creation,1612,536
358,bankrollers-orientalized,1797,792
359,sensationalism-outblessing,354,1759
360,bodkins-belace,1775,416
361,manchineel-yellings,1372,1219
362,unperches-lameds,383,232
363,misstruck-torturously,419,1852
364,spinous-objectifying,945,1500
365,outbegs-hardbeams,764,518
366,snifting-synchronical,403,643
367,rheumic-tiresomenesses,1267,683
368,mattoids-coryluses,956,582
369,leaflessnesses-exacts,1786,79
370,chemoautotroph-benignantly,1397,70
371,postorbital-magnanimity,559,1736
372,entrailing-covalently,675,561
373,experience-goulashes,1748,30
374,clartier-halutzim,1205,1644
375,subbranches-spatially,1994,725
376,desexualizations-porchettas,1811,1827
377,sangar-disintricates,475,1081
378,centrefolds-churr,198,1469
379,hapuku-directedness,1855,894
380,grievingly-homilists,987,782
381,numbers-routers,646,1481
382,tressours-pickin,1877,1584
383,lepidopterists-dipshits,849,1805
384,occasioners-gaspereaus,293,371
385,zhomo-hawkishly,1306,451
386,ignitibilities-agatized,124,1896
387,dystocia-decelerators,1762,489
388,sectarian-unnilquadiums,685,723
389,parrs-silviculturally,1986,1151
390,blotchiest-fatalist,657,1071
391,braza-orramen,556,1257
392,calathi-pend,148,357
393,sinologist-weathercaster,1646,1789
394,brigalows-banditry,964,1821
395,vermiculated-glitterier,274,1856
396,maggs-docksides,1493,373
397,incumberingly-teapoys,260,1229
398,communitaires-enchasers,634,1060
399,apyrexia-corrigibilities,1854,386
400,outpupils-windsuckers,520,1231
401,dueled-antibioses,415,1370
402,windborne-disgowned,552,1533
403,lonelier-disagreeables,1329,1820
404,salacious-outreigning,575,960
405,villose-puftaloons,1842,1793
406,gyrations-welshed,1568,1250
407,interdependently-dollarfishes,1707,951
408,aphelandras-diazomethanes,237,1273
409,vulgarisers-reflags,659,333
410,vesiculating-interconnexion,1220,376
411,unthreading-restuffed,799,1900
412,sparteries-merchantable,965,1866
413,disgorge-subsampled,1118,1123
414,gamboling-careers,856,839
415,nonaddictive-mutinously,499,190
416,plussing-isomere,1790,441
417,sloughy-acquisitive,1103,149
418,deadlocking-misdividing,1747,731
419,overheat-hetaerismic,618,1131
420,gorilla-vicugnas,366,544
421,bedights-amebiasis,858,1554
422,signeurie-cotemporary,1891,619
423,hydroponically-marbling,313,240
424,binnacle-savablenesses,1507,1468
425,loggish-beelining,733,72
426,mimmest-baldmoneys,589,677
427,deportees-deliberates,1383,53
428,hinges-caffeinic,154,1520
429,momzer-eloigns,1409,1606
430,bluishness-subsequences,1054,976
431,shoder-muddleheadedly,1153,1601
432,citrinin-niobites,1410,869
433,regulus-idealiser,502,661
434,bioptic-sweetness,1085,758
435,solely-hemocyte,1912,1514
436,ailurophobes-fashionably,1741,1222
437,barging-recreancies,432,122
438,owning-bilobated,1695,1268
439,sparoid-refinish,1783,157
440,dalliances-orgastic,1960,962
441,tidiest-snowshoeing,379,1490
442,overlooked-gynaeceums,1404,854
443,supraliminally-wafered,768,1194
444,vasectomised-transmove,521,805
445,animateness-plasmolyse,31,745
446,subclassify-sulphas,1387,1815
447,croutes-salutiferous,1642,740
448,colleted-jurists,1716,697
449,sprayier-nondenominationalism,410,1975
450,souvlakias-licencers,1717,48
451,archiepiscopate-bluegown,572,490
452,tumultuousness-vodcasters,1632,730
453,definability-insofar,1757,1252
454,accessarily-danton,1693,1412
455,metronomes-propositions,588,1408
456,firerooms-perciform,406,1287
457,chachkas-xiphophyllous,1689,641
458,tormentils-corves,68,1375
459,enfoldment-bobolink,1232,258
460,spadilles-thyrsus,1452,1850
461,morsels-borderline,1578,1508
462,carpogonia-pretreating,904,939
463,fernier-odiousnesses,1477,341
464,bundies-ropily,1656,1334
465,operettists-precentorship,66,1196
466,endoparasites-turgidness,1235,584
467,reviewable-globing,1744,633
468,trouvaille-sulfurises,1201,1181
469,retreating-anabolisms,1824,435
470,squirmy-capsulizing,847,747
471,ineffectualnesses-abyssopelagic,1550,1339
472,plottier-tortoises,1251,44
473,regularly-unroots,74,859
474,filming-bradoons,1996,1035
475,proportionments-mouchards,843,614
476,shells-romanizing,351,1995
477,kindliness-screensaver,1537,523
478,sapours-rassling,1545,1218
479,incalescences-homaloids,1569,1684
480,herewith-areached,1190,1224
481,astarboard-randems,1150,1834
482,lammergeyers-kickout,303,1246
483,panzerotto-frangipanni,1894,1992
484,farfetchedness-overcapitalize,553,222
485,laparoscopic-matamatas,525,944
486,lightninged-cholestyramine,16,1134
487,unhaunted-resought,1140,714
488,flittering-containerise,1510,1173
489,getting-executing,444,1913
490,signoras-pestful,528,1371
491,uprightly-boiled,937,612
492,sissynesses-rocker,678,195
493,theosophisms-hydroxyls,1255,1564
494,resonator-aerofoils,726,1682
495,abuna-billon,418,1859
496,gazers-bittersweetly,3,1003
497,blanch-yolky,353,1963
498,kinetheodolite-kidder,1491,348
499,flambeaux-burnishments,999,1216
500,baron-anagrammatizing,1143,791
501,heil-gropers,1947,1208
502,deterge-unbloody,773,1147
503,abaya-greaseband,1364,204
504,snaggiest-merchant,1041,1935
505,dirigiste-protist,921,123
506,glaucomatous-vaginitis,316,1594
507,buckayro-halloes,1374,1575
508,overelaborations-anciently,1142,132
509,mainframes-renewed,963,1579
510,exultations-ischiatic,143,1679
511,obeahing-sempervivums,1674,142
512,prolongable-triplying,1643,1369
513,madaming-doff,676,1556
514,sporocarp-biofuels,790,547
515,interlaminating-tidemill,1115,291
516,counterflow-epizoa,268,417
517,ren-deadwoods,1132,1531
518,malingerers-calyptrate,1349,1734
519,breachers-roentgenograms,156,781
520,intensatives-flammabilities,1440,1417
521,overextravagant-guanazolos,852,1241
522,hopeful-supranationalism,1881,1098
523,tridacnas-heliotropism,411,1516
524,upsee-fiddlesticks,1780,1732
525,unwhistleable-breakbeats,424,1129
526,raita-fatiguing,461,722
527,preheats-haole,169,1059
528,straked-extendant,1282,910
529,friskers-galvanotropic,356,407
530,emball-encyclic,320,1527
531,sorely-phytonadiones,1503,429
532,cauterized-appropriation,1303,92
533,refrainment-wisdoms,1000,1861
534,contrarinesses-swimmings,640,1162
535,dull-rigling,181,1442
536,streakinesses-overmelt,1139,139
537,cognoscenti-waterworn,1402,498
538,incognitas-asepticise,1037,924
539,astringencies-shoots,1604,1200
540,prohibitiveness-peptids,1909,832
541,hutted-feued,623,100
542,preboarding-cassenes,1944,1138
543,corrugated-bemusedly,604,1434
544,nutation-centripetalisms,1048,276
545,fetologies-drowses,1449,1916
546,praiseworthy-enteropneustal,1636,1897
547,gnarling-subcollege,1939,46
548,rutherfords-tallats,665,5
549,offline-intercorrelated,1338,1660
550,alineations-lordlinesses,1809,690
551,gangplows-armouries,1462,539
552,extremities-imitated,1794,1295
553,steamroller-mousepieces,897,1384
554,valuers-otherguess,900,1669
555,cocks-sarrasins,321,381
556,ultramontanism-destructibilities,390,696
557,dicht-druxiest,1955,314
558,chields-hoten,286,1560
559,smackers-hubbly,69,1633
560,doyenne-seaports,1844,1051
561,mistouches-epidotisation,1457,355
562,inconvertible-exsiccates,1585,1730
563,mackintoshes-cablet,32,1301
564,acquisitor-gab,200,1343
565,berleying-preferment,61,699
566,horopter-pindown,1535,259
567,thiophens-disgruntling,835,1625
568,unappointed-endash,479,752
569,oropharynxes-worthiness,1385,1307
570,siffles-touse,1678,774
571,labiates-comsymp,1701,1991
572,rewear-gross,1830,1767
573,divinities-izars,1309,935
574,tollgates-immedicably,1411,585
575,polysemous-malacia,1478,1363
576,naunts-regrowing,934,1305
577,discontinuities-reoiling,876,1915
578,divineress-febrile,1470,82
579,shriveled-enervated,549,344
580,vapulations-unpoisons,438,1739
581,imparting-urinometer,742,591
582,duckshoves-colorers,1618,550
583,unsophisticate-runout,1591,184
584,essentialised-roisterous,1602,990
585,numchuck-nitpickers,1990,1322
586,hijackings-bishopdom,265,342
587,conne-carillonist,1675,1582
588,cohesions-dismayingly,1702,1101
589,abaya-dedifferentiation,837,687
590,frontier-aquaplaners,617,1005
591,nolition-foreslacking,912,1082
592,exabyte-senior,872,1841
593,inanes-bemedalling,1097,22
594,cavings-schlimazel,1953,205
595,hulloed-petrifaction,1641,1026
596,cosmologist-ornithology,1186,213
597,icebergs-urolagnia,1873,1552
598,bottine-areosystile,93,581
599,malik-pretreatment,477,1353
600,garnered-adaptability,81,1615
601,counteradaptation-gamahuched,1361,901
602,tribalisms-sargoses,1808,1236
603,unred-pleuch,1705,1263
604,sundris-oligomerizations,233,1851
605,bylander-excluded,1884,1639
606,unbedinned-trigonal,988,1761
607,prayerfully-unpolarizable,1461,301
608,achromatization-saffian,1937,311
609,parmacitie-scintillator,1704,1630
610,brers-resends,1837,824
611,impropriates-allergists,603,1651
612,antiquark-religionary,1324,1315
613,knubbles-sampled,296,1846
614,dumfounders-debarkation,954,447
615,besmears-summarizer,558,146
616,xylographed-epicycloidal,141,1112
617,uncapes-imparling,87,1052
618,farolito-fundamentalisms,257,513
619,habitation-rudds,1496,1430
620,inconcinnity-deified,1403,1451
621,outlies-disobligatory,1766,1886
622,monolatrist-bankrollers,679,1318
623,contendents-unascended,1480,476
624,scarey-seaquakes,1807,1249
625,abundance-plottered,787,324
626,mistaught-jols,1311,1111
627,individua-carbonyls,1086,1588
628,greening-betaxed,700,833
629,screens-ippon,672,466
630,plottages-vomicas,881,1192
631,coches-flexitarian,452,339
632,blinking-trankums,830,1266
633,oppilation-soundness,1583,246
634,saturability-gelatinate,1169,64
635,presummit-sibyllic,738,785
636,unbury-buckers,511,125
637,clementine-microflora,368,58
638,acronically-noninstitutionalized,1342,1256
639,passersby-hyperkineses,889,1277
640,gluttonously-fertilises,449,1749
641,heathenizing-disnest,1439,457
642,hectoringly-preconditioning,1686,1581
643,savoyards-hognuts,1998,777
644,pitchiness-latexes,783,409
645,doodoo-dudism,706,1740
646,liftgates-merozoite,826,721
647,rapidly-vacantnesses,928,346
648,anabranches-ligure,1394,1291
649,deltiologist-motley,279,1058
650,epididymal-grissino,282,1823
651,conjugates-confederates,946,1889
652,dunniewassals-scandalisers,831,332
653,apocopation-crania,1952,906
654,begorra-hobdayed,1899,1999
655,resorbence-orf,1195,302
656,augmenter-slaveholders,608,573
657,possessiveness-dogmatisms,183,1943
658,actins-runkled,1878,1879
659,phycocyanin-meritocratic,161,221
660,zoospore-masculy,1872,1136
661,unlet-neurulas,1548,1938
662,synthesised-nontaxes,103,1605
663,spikers-motherworts,1299,698
664,discrowned-topophilias,1825,1611
665,reinvestment-changa,1296,50
666,subnets-wartweed,1680,741
667,sodain-delimiter,207,606
668,egressing-destructs,593,283
669,switchier-catalyst,1603,1865
670,harshed-watchboxes,973,610
671,hemophilias-knots,1016,662
672,dictatorialness-trillionaires,1108,1323
673,comprehended-uplook,1460,201
674,gunfights-syphilisations,957,1104
675,untruisms-hermeticity,1803,908
676,horographers-typp,1926,378
677,knelled-fluates,845,1979
678,motorbiked-tyler,735,1521
679,saltuses-hessonites,1381,844
680,quenches-histaminergic,579,636
681,gorge-fetichises,1453,20
682,nonformal-matata,1484,1444
683,bejading-coppiced,756,347
684,autotoxaemias-catabolised,445,1765
685,schnozzle-foes,1373,101
686,tondos-hirple,1391,9
687,rhytinas-disseised,1522,1211
688,voyeuristically-nosedove,487,1121
689,effulgence-deckers,598,1635
690,poitins-conservers,1100,882
691,nitchie-racketiest,1406,345
692,sprain-waistlines,510,401
693,shittier-catechist,6,713
694,magnesia-knurrs,1498,1738
695,gerenuks-clonk,779,107
696,nettlelike-uncivilnesses,495,172
697,scissiparities-mesognathisms,638,863
698,sensei-disfranchise,567,1436
699,sabir-straitwaistcoat,1819,1198
700,unequitable-seismometer,1779,1755
701,pokerish-happenstance,1875,674
702,redhanded-flustery,760,1608
703,subordinal-blissing,668,1355
704,orielled-cosign,299,820
705,toluate-cardialgic,1637,1801
706,rachiotomies-valvelet,838,1212
707,deflagrates-respot,625,1127
708,sanitising-rechanging,1574,1272
709,lymphoadenomata-lunula,179,1848
710,zobu-qualmy,437,1077
711,thyristor-unrefreshed,1175,689
712,divagates-skyscape,1710,90
713,foliages-edifices,478,254
714,electrofishings-copylefts,883,1788
715,emoter-bandoneons,1286,270
716,biguanides-concertantes,980,1423
717,locomotion-predefining,684,1039
718,ulna-hemopoieses,1341,1791
719,parabiotic-rebalanced,1712,981
720,spring-transfixions,185,25
721,cyclodiene-grasshook,800,110
722,epicontinental-weedlike,1735,1931
723,amylic-leeze,736,959
724,saccules-advening,1957,45
725,winchmen-overburn,1105,1645
726,constitutionalism-wourali,771,1479
727,cheateries-bacchanalians,1653,827
728,anthropomorphization-superadministrator,1619,426
729,imbroccata-statelessness,1908,497
730,vaudevillian-justificators,527,12
731,clepsydras-high,732,1882
732,familiariser-fils,1921,38
733,chrome-daylily,607,1930
734,reexplored-motif,574,1529
735,budgeter-intravenous,500,564
736,vitalise-particularizing,1357,159
737,avizandums-gratulatory,1472,1183
738,stonecuttings-transferal,370,1941
739,contrives-adjuror,1997,1137
740,hyperparathyroidisms-panaritiums,1425,460
741,specify-greatest,789,1839
742,redbones-inapprehensible,1518,1319
743,effervesced-noddiest,15,14
744,panharmonicon-emulatively,1677,1745
745,forcibility-cowtrees,691,922
746,urning-coffs,267,797
747,duplicative-jirkinet,557,388
748,monogonies-gapeworm,660,1862
749,sillier-beare,1446,430
750,tongues-dropping,1652,1474
751,legendized-placeholders,720,710
752,glibnesses-peccavi,989,877
753,snippily-foresee,600,1590
754,screeted-conflates,486,1697
755,breastplough-leprosities,724,763
756,heliostat-imprudent,947,1672
757,payfone-misshapers,1570,76
758,sironising-farand,1648,1141
759,comorbid-rerevising,229,1847
760,multiday-ungot,917,803
761,sayon-haymakings,639,1918
762,concubinages-ecumenists,1728,369
763,genogram-whitewoods,1626,245
764,silverpoint-encrust,626,1907
765,dimidiate-disenchantments,825,568
766,recompenses-ashamednesses,1978,903
767,leishmanias-jacare,1663,842
768,presummit-breaths,1951,1340
769,oil-coherers,1974,340
770,sonhood-sissyish,1160,950
771,canoodlers-carryalls,1542,571
772,despondence-timeservings,1316,402
773,adventure-beside,1027,54
774,vegetatious-noncolas,1314,1664
775,stealthily-underkills,1386,958
776,sulfureted-polymorphically,991,1983
777,processioner-straughter,1031,1380
778,tagger-intergrowths,1012,1176
779,mesitylenes-loofah,1659,597
780,eliches-chargehand,1426,1946
781,equipotent-cassation,1109,117
782,sodomised-dadoing,670,1333
783,aerotactic-bypass,551,375
784,micturating-concealed,1165,504
785,stickmen-semillons,530,1929
786,pakihis-shirtband,1332,1628
787,unarched-knags,1488,555
788,wry-euchologion,446,206
789,facings-elapses,1330,1528
790,electroretinograph-jillion,1288,322
791,whimpering-zombified,174,629
792,techno-tarras,704,611
793,cottony-chaffiest,1179,120
794,busybody-cocobola,1438,1113
795,nonmechanistic-quaesitum,992,647
796,selenographer-improvidence,1347,367
797,tawheowheos-presell,994,448
798,sitosterols-monture,1903,1911
799,moschate-friges,1204,1599
800,oilcamps-newsbreaks,235,1668
801,amalgamative-oos,335,349
802,twangy-multiuser,1800,1486
803,photocopyings-fuchsite,145,99
804,hypersusceptibility-geochronology,1576,765
805,hazarding-undersize,1771,751
806,utopism-debs,1217,137
807,leaking-sphygmus,512,541
808,repressed-oviraptor,793,1228
809,barophoresis-loungey,880,693
810,outranks-rhizopod,1159,867
811,ghostwrote-workaholic,865,1720
812,kip-bucktail,1119,1445
813,elbowrooms-ultion,1358,1547
814,loxodromically-voluntarists,1034,1024
815,treater-redolence,404,1083
816,azotemic-bonbonniere,162,1634
817,dromos-endgates,719,1919
818,analogue-anathematises,1377,663
819,coldnesses-handgrip,1928,33
820,heterokont-publicans,1325,396
821,pintoes-yellowfin,75,1804
822,misdescription-flints,281,1509
823,stridulous-phyllosilicates,397,95
824,quantongs-epacts,1248,1778
825,enormous-varactor,1335,1172
