platform_id,video_id,watch_count,total_time_watched,price_per_watch
131,1415,195332,11133924,0.41
105,699,414620,2902340,0.2
160,1969,2004,34068,0.47
123,1970,1103,5515,0.19
29,502,672461,20173830,0.14
19,1441,29802,178812,0.42
101,777,64398,579582,0.26
140,694,403300,12502300,0.47
22,563,659288,6592880,0.43
0,88,574507,14937182,0.32
158,1627,1501,48032,0.13
26,791,889015,20447345,0.47
71,509,924491,4622455,0.2
21,1433,610710,6717810,0.19
161,1599,1502,37550,0.3
14,1687,270862,2166896,0.33
122,463,282743,6503089,0.46
110,446,700302,25210872,0.34
150,458,394082,12610624,0.19
48,1056,131632,3554064,0.42
38,795,384721,3847210,0.43
8,1151,620557,5585013,0.16
36,639,29962,928822,0.48
96,64,147369,4126332,0.32
18,1744,879068,49227808,0.37
104,661,660049,8580637,0.29
60,1747,797888,46277504,0.3
128,1560,363955,4003505,0.5
106,1703,951616,45677568,0.1
161,1184,1498,11984,0.2
156,1156,556535,15026445,0.17
158,1397,1502,61582,0.28
155,145,916523,24746121,0.29
113,1042,209885,8605285,0.33
160,1191,2001,26013,0.28
60,77,20838,812682,0.32
102,971,608595,24343800,0.46
160,76,2005,30075,0.39
159,1891,1513,89267,0.2
158,392,1500,88500,0.19
150,633,465555,11173320,0.27
159,1068,1509,43761,0.34
158,40,1503,42084,0.29
76,1167,392897,17287468,0.2
97,1837,422107,22371671,0.34
112,901,24908,672516,0.12
158,1304,1500,7500,0.24
126,110,580413,12769086,0.46
103,1612,285427,7991956,0.42
34,1015,403101,23379858,0.39
143,46,467352,9347040,0.13
16,956,352759,11641047,0.29
49,1384,736656,10313184,0.31
160,1776,2002,86086,0.19
158,569,1501,82555,0.23
119,442,517248,12931200,0.29
90,1580,401564,12046920,0.25
25,1944,754907,35480629,0.33
101,61,658779,38867961,0.29
89,983,116646,3266088,0.29
100,1474,538809,5388090,0.47
136,1682,741448,15570408,0.22
161,180,1509,37725,0.31
162,1580,1498,44940,0.27
91,1499,179727,9884985,0.47
50,1404,807006,37929282,0.2
43,796,869358,36513036,0.31
103,1464,486532,2432660,0.26
158,1788,1503,15030,0.46
161,101,1501,24016,0.22
19,194,37732,1094228,0.23
158,1591,1502,81108,0.19
28,83,337339,7084119,0.22
20,1652,437240,14866160,0.38
162,554,1497,23952,0.2
46,1757,963978,55910724,0.34
159,1768,1514,12112,0.46
1,1499,979774,53887570,0.28
18,1861,802806,9633672,0.3
158,1568,1500,84000,0.34
19,1123,517323,4655907,0.36
151,99,910378,10924536,0.3
84,519,500409,2502045,0.13
14,1507,390301,12879933,0.24
29,1637,315947,13901668,0.5
84,1308,727674,24013242,0.41
130,1672,438021,12264588,0.4
63,870,833717,23344076,0.12
162,1486,1501,28519,0.25
160,401,2001,24012,0.11
159,1201,1510,60400,0.44
84,1511,556135,9454295,0.37
161,1563,1511,27198,0.16
124,1592,762793,32037306,0.28
29,938,801899,44906344,0.39
142,1822,449471,21574608,0.12
160,1566,2002,56056,0.34
29,1960,972633,44741118,0.28
160,1423,1997,29955,0.48
118,1823,299190,8078130,0.47
152,131,532224,19692288,0.17
28,470,134464,7261056,0.21
158,349,1501,18012,0.48
142,1710,569797,30769038,0.38
80,1098,983913,27549564,0.18
159,51,1507,55759,0.37
55,1371,930769,5584614,0.46
42,547,303344,4550160,0.44
160,413,2000,70000,0.44
34,404,519899,16636768,0.36
11,1154,115561,4506879,0.38
141,1129,346819,7283199,0.35
148,965,422213,21955076,0.47
161,917,1500,43500,0.17
68,1626,487842,17074470,0.23
59,364,400738,6411808,0.25
140,1254,947422,26527816,0.31
70,655,293865,9109815,0.36
162,21,1500,42000,0.3
161,61,1505,88795,0.23
158,577,1499,79447,0.39
161,1842,1498,85386,0.12
149,348,9353,205766,0.37
91,1153,268603,7520884,0.46
161,1082,1501,10507,0.17
69,247,606768,11528592,0.22
99,1917,525636,13666536,0.17
154,707,879927,15838686,0.35
17,336,921540,36861600,0.18
148,1941,288901,7222525,0.27
55,1373,6312,214608,0.33
155,724,604710,23583690,0.39
106,1210,607626,12152520,0.24
133,102,783773,40756196,0.44
0,1206,22262,1113100,0.26
145,1902,705828,38114712,0.13
10,1761,937783,14066745,0.13
160,1205,2003,66099,0.45
148,1939,694567,38201185,0.27
1,361,701422,18236972,0.44
161,742,1500,85500,0.19
159,1576,1511,72528,0.18
19,1250,507965,15238950,0.15
158,289,1501,10507,0.22
111,456,464947,24642191,0.5
144,1046,33103,1423429,0.16
159,1273,1512,15120,0.46
138,685,548166,14252316,0.31
57,491,817501,9810012,0.4
158,1894,1496,82280,0.49
109,999,909962,40038328,0.22
59,394,13794,510378,0.15
98,1189,112399,3371970,0.29
15,946,576794,25955730,0.39
22,415,289257,16776906,0.16
23,1916,145928,1313352,0.11
129,220,252970,3541580,0.17
161,271,1505,10535,0.35
29,163,724837,19570599,0.48
159,1455,1510,84560,0.21
61,1852,717759,12919662,0.13
138,1118,777871,42005034,0.1
51,977,259761,7533069,0.11
92,1292,416657,2083285,0.1
158,1142,1503,84168,0.47
160,1933,2000,18000,0.44
158,1038,1503,36072,0.49
58,1140,928106,35268028,0.32
100,624,850625,22966875,0.28
160,1020,1999,59970,0.37
92,1995,681229,6812290,0.16
161,1379,1501,67545,0.26
107,1781,205207,9849936,0.25
100,508,196207,3531726,0.5
159,1365,1514,33308,0.1
158,1731,1502,51068,0.34
13,359,7324,227044,0.37
24,1951,825597,23942313,0.28
119,445,883490,52125910,0.28
77,152,561555,23023755,0.18
158,309,1501,90060,0.34
24,1458,50914,1374678,0.46
49,655,338008,10478248,0.49
77,636,180130,1621170,0.48
65,751,45073,1126825,0.47
161,730,1496,11968,0.46
80,376,978208,6847456,0.24
32,639,659834,20454854,0.31
65,1601,900119,7200952,0.43
63,492,461986,19403412,0.24
7,574,922756,40601264,0.48
7,400,52767,2110680,0.31
146,41,829021,19067483,0.41
1,1372,859889,46434006,0.34
158,907,1500,18000,0.38
162,1422,1498,32956,0.35
161,1049,1503,87174,0.32
97,1915,716827,10035578,0.46
78,288,726605,19618335,0.45
161,279,1497,44910,0.19
131,692,100083,1301079,0.28
24,351,638445,21707130,0.26
46,1865,917435,26605615,0.28
158,362,1504,42112,0.18
127,1093,355540,10310660,0.4
40,295,105198,5259900,0.11
99,874,966341,52182414,0.21
64,1913,3051,73224,0.31
17,1618,780568,39808968,0.35
86,1194,948209,9482090,0.45
43,1048,643530,37324740,0.49
2,1603,146795,8073725,0.26
159,389,1515,43935,0.5
160,523,2004,38076,0.2
105,1594,768728,13068376,0.19
129,581,930669,26989401,0.19
107,877,571785,12579270,0.32
18,1362,60078,300390,0.28
132,1394,314488,15724400,0.4
98,394,690932,25564484,0.2
155,776,611467,21401345,0.24
87,400,557817,22312680,0.12
118,1417,589697,11204243,0.32
90,1794,97341,4185663,0.27
160,1549,1995,19950,0.13
161,1119,1500,60000,0.36
18,164,379705,13669380,0.14
128,862,263300,15534700,0.13
34,1808,10715,546465,0.25
160,1290,2003,24036,0.48
38,382,265408,13004992,0.24
160,1904,1996,53892,0.41
35,1379,261588,11771460,0.45
150,952,108194,5517894,0.26
160,1035,2001,28014,0.11
127,1651,784836,22760244,0.24
69,1173,646446,18746934,0.31
99,794,357102,19640610,0.39
132,629,788038,9456456,0.35
149,1977,213923,5775921,0.49
107,1819,829775,36510100,0.15
47,1675,506527,15195810,0.17
31,1667,720283,9363679,0.34
4,1816,249938,14746342,0.49
130,1896,361773,7959006,0.27
35,871,283764,4256460,0.22
107,1478,673476,31653372,0.35
47,791,400342,9207866,0.24
162,1795,1503,67635,0.17
21,163,761450,20559150,0.31
151,450,95169,1332366,0.49
159,317,1513,22695,0.13
161,450,1500,21000,0.33
162,896,1503,84168,0.22
16,543,384823,13083982,0.26
162,1639,1503,27054,0.35
60,1100,829214,34826988,0.22
158,861,1503,52605,0.14
0,1610,217585,11532005,0.44
158,888,1498,34454,0.45
44,85,412740,13207680,0.3
120,483,840830,44563990,0.12
141,1074,621739,34195645,0.22
149,1152,324175,15560400,0.38
41,1226,75563,2871394,0.17
60,682,855313,19672199,0.27
129,1554,461811,6003543,0.25
159,1530,1510,52850,0.36
159,1782,1507,12056,0.37
20,407,342461,9246447,0.25
159,1154,1510,58890,0.37
108,375,525046,2625230,0.31
145,1819,325148,14306512,0.17
138,284,575804,21304748,0.12
140,631,2380,33320,0.46
68,446,283478,10205208,0.34
9,1734,970882,8737938,0.42
159,1833,1512,57456,0.3
161,632,1502,66088,0.19
102,1006,494545,19287255,0.49
90,1133,913162,9131620,0.47
97,354,40721,1791724,0.13
158,1544,1502,72096,0.31
64,1477,236972,10426768,0.46
162,1473,1498,80892,0.19
92,162,935447,33676092,0.18
158,1134,1501,39026,0.29
120,1831,674454,35071608,0.36
65,692,36587,475631,0.27
160,1898,1998,53946,0.47
162,49,1502,36048,0.46
96,825,937271,49675363,0.47
54,1049,977463,56692854,0.37
29,204,65888,1185984,0.28
159,1751,1513,48416,0.32
161,509,1503,7515,0.33
32,760,730327,25561445,0.27
145,1733,398579,21921845,0.27
10,570,591332,3547992,0.13
162,1953,1501,46531,0.38
162,1398,1503,84168,0.42
122,151,980286,9802860,0.4
21,1045,59808,1734432,0.46
162,1877,1503,60120,0.25
56,1420,53602,1072040,0.32
162,251,1498,49434,0.32
76,929,312257,4683855,0.41
39,1516,4511,85709,0.35
158,899,1499,32978,0.21
136,373,492505,2955030,0.35
139,663,179401,4843827,0.35
142,1548,309969,14258574,0.34
46,323,760064,5320448,0.35
132,1050,308993,14831664,0.38
159,1895,1506,73794,0.28
109,1356,679520,17667520,0.16
60,450,999782,13996948,0.43
162,1253,1502,54072,0.15
29,243,716209,3581045,0.19
126,129,286529,1719174,0.19
159,428,1511,36264,0.37
161,1596,1506,49698,0.46
158,200,1502,43558,0.24
79,290,158724,3491928,0.18
85,1179,655683,24915954,0.19
23,631,998420,13977880,0.2
47,280,787984,16547664,0.41
161,412,1502,40554,0.18
81,1231,125220,2880060,0.22
137,1360,506614,5066140,0.26
10,755,830829,14124093,0.35
57,21,378987,10611636,0.22
9,1612,924616,25889248,0.27
63,1668,821016,15599304,0.38
54,853,887471,52360789,0.23
61,735,388103,17852738,0.48
28,12,250565,4760735,0.13
73,461,58980,2772060,0.34
47,596,621313,11804947,0.13
89,1582,675326,9454564,0.22
159,455,1507,90420,0.21
64,1562,171981,1203867,0.14
125,1942,334490,9031230,0.2
74,1110,727158,28359162,0.14
142,1915,768352,10756928,0.1
53,252,301276,14159972,0.16
162,430,1498,10486,0.41
136,175,932386,36363054,0.39
118,1858,916123,21070829,0.15
63,1464,822165,4110825,0.4
158,1114,1503,18036,0.12
160,1744,2005,112280,0.39
28,1803,997691,36914567,0.16
161,357,1501,39026,0.17
158,72,1497,25449,0.48
90,1130,37236,2010744,0.27
42,1136,314619,3146190,0.13
162,292,1505,27090,0.15
150,1021,12651,480738,0.41
85,1857,341053,8526325,0.37
148,169,464237,27854220,0.42
27,178,282274,1975918,0.35
44,1425,515797,14442316,0.34
56,1196,856133,5136798,0.2
39,1877,459265,18370600,0.25
162,113,1500,84000,0.33
151,1365,167444,3683768,0.13
159,951,1511,45330,0.36
162,529,1499,61459,0.25
61,1222,863560,10362720,0.32
12,1703,401811,19286928,0.29
160,396,2003,32048,0.17
158,1532,1502,72096,0.21
92,1978,282979,10470223,0.35
64,997,261229,7314412,0.23
79,167,355012,4970168,0.49
98,1071,48230,1398670,0.27
93,701,566980,26648060,0.23
57,13,941895,11302740,0.49
162,509,1499,7495,0.24
33,544,920439,8283951,0.24
124,1068,974296,28254584,0.47
158,1410,1498,44940,0.47
159,1089,1514,48448,0.13
93,174,885926,52269634,0.29
12,943,123477,3580833,0.21
42,1456,538598,22082518,0.18
10,1367,845613,28750842,0.22
159,1878,1509,37725,0.48
60,510,431449,18552307,0.26
160,579,2000,90000,0.26
158,223,1499,59960,0.48
159,315,1509,7545,0.14
162,642,1501,45030,0.15
112,1403,674584,21586688,0.46
31,1779,392441,13342994,0.32
123,333,996625,11959500,0.32
126,1516,607513,11542747,0.25
79,1441,669458,4016748,0.29
162,1612,1497,41916,0.39
51,1542,739709,36245741,0.15
43,1664,120034,600170,0.24
18,1693,798851,46333358,0.36
57,1251,910368,49159872,0.29
94,1501,894757,28632224,0.11
9,1462,747793,41876408,0.17
1,1953,987935,30625985,0.21
161,1010,1504,28576,0.14
160,747,1997,19970,0.34
19,1992,288616,2886160,0.16
128,491,663763,7965156,0.48
28,181,168661,9107694,0.48
149,1733,584202,32131110,0.48
162,383,1502,60080,0.45
160,288,2000,54000,0.38
161,29,1501,10507,0.48
158,82,1503,19539,0.38
78,1806,10935,612360,0.47
161,49,1507,36168,0.24
119,128,914150,53934850,0.25
61,1879,821058,8210580,0.14
93,1729,64464,3481056,0.22
120,1536,655156,19654680,0.1
88,850,295544,6501968,0.24
158,108,1500,87000,0.44
70,1552,613233,3066165,0.21
44,1656,943418,36793302,0.27
74,622,946335,19873035,0.45
145,1675,572461,17173830,0.18
133,637,559128,28515528,0.4
158,1811,1500,48000,0.27
87,1800,912079,26450291,0.27
10,168,964524,26042148,0.16
159,630,1509,30180,0.41
144,1451,342563,9934327,0.5
83,1054,182084,9104200,0.21
159,1776,1509,64887,0.14
38,908,586027,15822729,0.28
100,1260,167664,9892176,0.34
136,1212,425681,11919068,0.19
161,64,1502,42056,0.25
161,1930,1503,18036,0.18
159,1829,1514,37850,0.11
156,1202,31660,1013120,0.45
161,665,1502,61582,0.36
86,837,762582,22114878,0.3
105,165,658076,37510332,0.3
55,1085,180874,5968842,0.21
85,506,559046,11180920,0.28
125,443,414082,17391444,0.39
43,1174,172830,7086030,0.43
0,189,279668,4474688,0.36
127,1235,751846,42855222,0.2
135,1604,43510,2306030,0.21
32,836,616205,16021330,0.15
159,845,1512,78624,0.38
106,169,587466,35247960,0.13
2,1006,935214,36473346,0.48
64,1915,397073,5559022,0.18
35,404,386318,12362176,0.18
38,641,455337,12749436,0.24
161,685,1497,38922,0.22
154,179,690936,24873696,0.33
160,469,2005,52130,0.34
158,1154,1503,58617,0.37
46,1946,261121,5483541,0.3
51,987,769698,26939430,0.24
162,1303,1499,64457,0.28
2,997,7636,213808,0.15
28,1615,617725,6177250,0.39
107,704,673732,35034064,0.21
159,1274,1510,52850,0.31
159,10,1506,82830,0.46
22,487,726725,27615550,0.14
162,1986,1494,40338,0.31
156,1501,151701,4854432,0.41
33,1596,508393,16776969,0.21
104,1655,635454,12709080,0.27
161,1692,1506,78312,0.29
131,713,317553,1587765,0.31
134,398,239393,2872716,0.46
154,1511,128366,2182222,0.1
142,524,843631,38807026,0.45
146,412,386562,10437174,0.45
37,614,427736,8554720,0.11
82,707,503925,9070650,0.27
69,1466,768274,10755836,0.11
65,14,740095,19982565,0.45
151,1553,273260,6011720,0.4
161,922,1503,9018,0.15
104,1996,417142,14599970,0.21
159,1695,1505,42140,0.27
147,487,371576,14119888,0.3
25,293,773612,28623644,0.25
91,942,331601,8953227,0.14
162,8,1498,73402,0.23
144,258,345306,7251426,0.46
159,1188,1515,63630,0.21
85,1633,73872,1625184,0.28
44,677,825282,11553948,0.33
160,1716,1997,103844,0.41
158,1248,1499,61459,0.29
159,481,1507,27126,0.41
10,1932,634398,31719900,0.23
160,290,1996,43912,0.3
159,220,1507,21098,0.39
38,384,106233,1274796,0.46
13,877,430666,9474652,0.48
107,356,972675,57387825,0.45
68,861,456959,15993565,0.16
11,1777,360267,20535219,0.31
159,102,1505,78260,0.22
124,1261,730658,13882502,0.19
152,1810,830646,48177468,0.28
160,884,1996,101796,0.17
125,843,281091,7308366,0.27
162,1723,1495,43355,0.28
43,958,618287,5564583,0.23
84,83,129796,2725716,0.31
161,361,1502,39052,0.29
59,1277,853527,17070540,0.48
161,327,1502,16522,0.16
18,1745,204599,1636792,0.26
162,1568,1499,83944,0.42
159,1398,1515,84840,0.34
130,622,496626,10429146,0.14
121,188,549891,7148583,0.49
63,565,817492,17167332,0.25
100,110,792153,17427366,0.22
96,1830,750900,36043200,0.11
112,1013,510200,10204000,0.16
22,1118,483135,26089290,0.28
141,556,759700,31147700,0.17
161,877,1502,33044,0.44
159,630,1506,30120,0.35
49,349,515136,6181632,0.14
146,1823,422911,11418597,0.48
84,1618,708053,36110703,0.34
34,1392,819964,21319064,0.43
12,1527,714006,11424096,0.11
28,168,522867,14117409,0.39
158,1116,1501,52535,0.5
48,1238,456575,21002450,0.32
119,1968,609493,30474650,0.17
27,238,233781,8182335,0.3
128,337,7760,77600,0.23
161,1279,1499,43471,0.23
162,1165,1496,79288,0.23
158,172,1498,40446,0.41
161,619,1499,29980,0.2
159,1370,1512,24192,0.37
106,1965,990917,16845589,0.48
161,1399,1500,69000,0.32
88,1239,843104,20234496,0.4
159,1093,1510,43790,0.27
127,1735,35873,932698,0.26
162,1989,1503,24048,0.19
23,230,918916,11026992,0.31
162,882,1500,43500,0.32
160,1637,1995,87780,0.49
127,766,226047,1130235,0.18
53,377,80980,809800,0.11
137,1573,942570,23564250,0.11
125,730,216212,1729696,0.41
158,182,1499,37475,0.19
63,583,725711,19594197,0.18
162,1204,1501,67545,0.27
123,1280,42121,2148171,0.16
34,1069,494974,9899480,0.46
159,911,1508,22620,0.3
45,381,240011,4800220,0.36
161,1782,1498,11984,0.28
78,1757,763368,44275344,0.11
78,1378,754063,19605638,0.2
87,797,496054,14881620,0.35
8,526,396934,5557076,0.12
93,841,147800,3695000,0.15
124,1381,206143,7421148,0.48
80,1931,765908,11488620,0.38
159,797,1514,45420,0.22
160,177,2004,68136,0.14
159,762,1514,45420,0.31
105,1128,613277,4906216,0.47
10,331,901019,9911209,0.1
39,1530,637392,22308720,0.13
12,930,371577,17092542,0.48
161,87,1504,90240,0.45
61,414,838901,34394941,0.42
45,1448,539846,23753224,0.25
75,1976,748947,10485258,0.39
161,974,1503,36072,0.31
127,1171,230933,6235191,0.41
41,114,30276,1453248,0.23
47,1679,683582,4785074,0.35
162,1943,1500,28500,0.12
158,802,1499,41972,0.38
159,885,1512,39312,0.48
160,339,2003,12018,0.5
150,659,359531,12943116,0.12
162,931,1501,15010,0.28
161,1687,1504,12032,0.49
158,548,1495,61295,0.43
159,1832,1514,69644,0.33
161,1027,1496,70312,0.16
112,1485,137799,7165548,0.13
22,1257,382005,9168120,0.46
33,649,153881,6001359,0.25
129,981,633811,6338110,0.21
161,1090,1500,15000,0.39
38,591,668750,4012500,0.47
160,628,2001,118059,0.33
75,1524,313096,8766688,0.43
0,1228,208522,5004528,0.22
12,1325,558593,18992162,0.5
41,342,304358,4261012,0.13
118,461,472380,22201860,0.14
18,158,710960,7109600,0.49
128,1974,225823,7677982,0.23
76,329,577639,5776390,0.32
36,1548,283554,13043484,0.16
160,1026,2004,52104,0.4
159,683,1510,13590,0.11
159,1057,1507,31647,0.38
26,1483,984496,20674416,0.37
89,1148,149696,3143616,0.36
161,891,1503,42084,0.44
158,865,1500,70500,0.28
159,1904,1509,40743,0.39
161,1075,1497,52395,0.32
121,829,801085,15220615,0.22
39,105,484182,26145828,0.42
158,802,1502,42056,0.38
159,989,1508,61828,0.33
152,1167,916080,40307520,0.17
125,576,51653,2169426,0.28
117,979,799306,45560442,0.31
14,858,834866,45082764,0.12
1,1270,540091,3780637,0.37
23,38,968025,6776175,0.12
19,1971,372339,16382916,0.35
115,45,421574,2951018,0.2
104,945,906279,53470461,0.12
158,1646,1508,64844,0.2
49,278,503993,10583853,0.33
115,175,761609,29702751,0.14
139,662,252395,4795505,0.32
37,255,40199,1286368,0.29
138,219,925986,7407888,0.37
33,1114,680494,8165928,0.36
122,728,125782,628910,0.39
154,1962,681536,31350656,0.25
153,991,358927,10408883,0.38
110,278,137883,2895543,0.39
80,49,712281,17094744,0.4
159,1432,1511,52885,0.3
145,203,998608,21969376,0.23
151,1955,174457,7152737,0.43
159,1987,1508,60320,0.31
49,1252,210659,4634498,0.39
136,241,99594,995940,0.26
71,355,566123,2830615,0.22
138,1474,321559,3215590,0.37
160,968,1999,119940,0.13
129,1425,165346,4629688,0.33
119,527,755806,44592554,0.3
53,1913,742679,17824296,0.14
159,611,1509,28671,0.39
162,690,1498,8988,0.11
162,831,1501,64543,0.48
52,516,747545,29901800,0.45
41,448,753662,20348874,0.27
111,114,271096,13012608,0.12
11,113,811899,45466344,0.23
63,991,705233,20451757,0.19
15,271,455043,3185301,0.17
3,807,836214,21741564,0.48
10,361,469355,12203230,0.11
162,525,1500,45000,0.23
158,1319,1496,34408,0.11
160,881,2000,74000,0.35
2,12,416428,7912132,0.46
96,732,187812,5634360,0.15
100,1042,331625,13596625,0.15
100,1150,901081,27933511,0.46
161,1673,1494,44820,0.19
158,660,1504,67680,0.39
84,28,266073,12239358,0.26
27,1625,127855,2684955,0.31
113,739,678847,13576940,0.12
159,1207,1507,13563,0.32
144,675,311844,12161916,0.14
62,566,844236,11819304,0.26
76,1958,270084,11073444,0.44
161,1779,1496,50864,0.18
55,1166,755347,29458533,0.3
45,1373,617318,20988812,0.46
14,221,430884,8617680,0.12
161,1959,1501,84056,0.48
162,1982,1498,14980,0.24
141,163,629494,16996338,0.29
15,1160,265391,7430948,0.36
118,350,421948,3375584,0.39
78,176,290741,7268525,0.23
45,1827,639205,3835230,0.18
133,990,85724,600068,0.24
40,553,123564,6178200,0.39
160,1528,2000,14000,0.17
24,886,793469,19836725,0.34
65,926,414329,22373766,0.21
148,214,553343,13280232,0.12
162,631,1500,21000,0.13
66,1367,50517,1717578,0.17
161,1520,1498,38948,0.24
76,335,498363,27409965,0.31
162,586,1502,72096,0.41
68,1282,804227,20105675,0.37
136,1339,201804,3228864,0.49
158,1212,1501,42028,0.32
53,1819,466059,20506596,0.31
158,787,1502,69092,0.25
161,787,1500,69000,0.36
81,338,72190,1660370,0.36
147,1313,940752,24459552,0.13
160,1869,2002,56056,0.43
11,1331,784106,28227816,0.39
81,717,971865,27212220,0.18
160,104,1998,57942,0.24
139,235,944794,49129288,0.17
59,942,961698,25965846,0.14
161,1102,1501,9006,0.12
160,642,2003,60090,0.31
160,397,1995,53865,0.21
141,975,17536,175360,0.1
67,1528,384243,2689701,0.18
76,268,23382,841752,0.46
69,222,670216,18095832,0.21
79,1181,675404,16209696,0.18
12,563,915892,9158920,0.49
57,603,633126,31656300,0.31
158,1178,1501,37525,0.15
72,656,974400,50668800,0.26
87,396,726059,11616944,0.21
134,89,615767,17241476,0.42
78,1124,109442,2188840,0.23
162,667,1510,78520,0.4
110,1965,755374,12841358,0.39
44,72,173757,2953869,0.22
160,420,2002,18018,0.4
94,1880,945609,15129744,0.24
136,1960,554996,25529816,0.11
120,65,631073,3786438,0.16
51,245,245404,6871312,0.27
158,1929,1502,21028,0.26
66,9,248372,1738604,0.38
142,1585,967269,41592567,0.16
59,724,449811,17542629,0.19
103,529,639652,26225732,0.36
28,1558,41925,419250,0.41
160,1937,2001,62031,0.48
160,1753,1995,63840,0.31
159,1043,1512,40824,0.28
92,1102,268116,1608696,0.17
78,820,864758,6053306,0.27
19,942,345223,9321021,0.18
55,1804,80765,1938360,0.16
134,1736,564608,5646080,0.3
160,1336,2002,108108,0.46
104,905,570554,29668808,0.46
158,1713,1501,12008,0.42
162,504,1505,13545,0.28
161,1820,1496,32912,0.21
160,1749,2002,40040,0.49
124,1994,755330,20393910,0.3
2,1652,576133,19588522,0.42
30,778,12443,348404,0.45
38,608,621527,34183985,0.4
1,1432,538813,18858455,0.21
106,1215,471300,16495500,0.38
6,136,25487,305844,0.5
0,762,85497,2564910,0.15
161,1177,1505,22575,0.47
162,1156,1496,40392,0.35
6,103,51129,1994031,0.15
162,937,1503,84168,0.47
32,4,411762,20176338,0.16
159,41,1508,34684,0.27
158,312,1498,43442,0.35
162,1031,1499,64457,0.36
81,1185,758577,27308772,0.37
158,313,1494,82170,0.44
159,424,1508,64844,0.46
72,1955,394494,16174254,0.31
135,1152,170086,8164128,0.42
161,1300,1499,29980,0.15
161,138,1496,80784,0.24
3,1812,186079,5954528,0.17
158,582,1503,9018,0.32
161,499,1499,43471,0.38
158,618,1507,84392,0.44
159,1660,1510,43790,0.27
27,1023,992436,26795772,0.36
91,1117,502211,5022110,0.23
161,1196,1507,9042,0.27
146,929,855742,12836130,0.49
58,558,571627,14290675,0.17
97,1439,722612,28904480,0.49
40,391,876449,24540572,0.41
139,264,651877,39112620,0.11
77,1768,755611,6044888,0.47
160,300,1999,85957,0.45
114,311,969886,17457948,0.48
117,1823,540666,14597982,0.22
161,316,1502,52570,0.3
1,587,600192,21006720,0.46
72,894,674705,18217035,0.41
9,641,992977,27803356,0.1
70,993,946710,17987490,0.32
95,1070,860541,33561099,0.11
162,1979,1506,18072,0.33
144,1071,592290,17176410,0.12
72,163,206213,5567751,0.34
162,1970,1500,7500,0.46
158,1574,1499,76449,0.38
149,1361,282376,9883160,0.46
140,1227,716609,14332180,0.41
81,1783,3170,107780,0.14
161,312,1498,43442,0.28
77,793,941580,35780040,0.45
158,481,1501,27018,0.23
52,413,409528,14333480,0.4
109,407,593069,16012863,0.19
31,1192,466958,9806118,0.14
158,219,1505,12040,0.17
159,907,1510,18120,0.23
97,503,570224,32502768,0.47
159,1117,1509,15090,0.38
134,566,894825,12527550,0.36
161,956,1495,49335,0.22
158,827,1496,19448,0.17
115,284,220607,8162459,0.42
162,1789,1499,25483,0.4
77,1083,869793,25223997,0.27
125,1946,869432,18258072,0.21
38,100,663872,18588416,0.38
30,212,10414,562356,0.19
34,391,289985,8119580,0.12
