id,instance_name,active_time_sec,boot_time_sec,get_requests,post_requests,traffic_in_mb,traffic_out_mb,average_response_time_ms
143,inst-143,77354,153,18383,9164,7839,89465,148
144,inst-144,81701,42,12313,3284,5837,129700,139
145,inst-145,73985,236,12855,8011,880,128810,218
146,inst-146,69326,218,8032,14293,9460,32586,161
147,inst-147,71824,277,10326,16422,11288,117137,81
148,inst-148,19878,215,9306,3099,7291,155196,149
149,inst-149,82301,236,7763,13449,1945,146102,209
150,inst-150,79787,137,12746,6403,5576,98605,203
151,inst-151,86196,233,9249,4377,13972,143340,232
152,inst-152,71833,93,18129,8250,11381,111434,141
153,inst-153,76838,20,8539,12605,10777,65036,83
154,inst-154,79577,85,10268,0,19805,155928,166
155,inst-155,83901,5,11210,16511,11854,143809,50
156,inst-156,73020,218,19201,12829,16849,152688,127
157,inst-157,2173,100,9469,13905,5963,114406,152
158,inst-158,81319,140,9091,6073,7300,85764,224
159,inst-159,69590,135,1584,11820,11503,88742,182
160,inst-160,80611,285,9881,13507,13152,161625,95
161,inst-161,69628,14,13418,7205,10484,54905,50
162,inst-162,70960,229,9514,14426,9552,177598,129
163,inst-163,44883,215,11572,10942,2254,35603,161
164,inst-164,76911,126,11252,13014,7467,85958,80
165,inst-165,80489,281,4664,4790,14494,99497,171
166,inst-166,67681,58,9232,9822,6088,67328,160
167,inst-167,73342,189,16674,8273,6073,50427,222
168,inst-168,79002,289,9107,14508,8227,189074,73
169,inst-169,84544,34,9918,1400,3770,0,120
170,inst-170,75722,32,2661,4125,9234,132196,168
171,inst-171,73577,80,0,13470,8289,51009,116
172,inst-172,31703,116,16249,17833,9303,52733,120
173,inst-173,79749,118,5345,9029,10364,144000,190
174,inst-174,69500,155,7757,14694,9734,108292,104
175,inst-175,74927,79,15120,10433,5454,47356,223
176,inst-176,75871,82,15070,11095,10133,45069,141
177,inst-177,63564,40,19504,13235,5584,166051,135
178,inst-178,69822,124,13240,3191,8365,108418,67
179,inst-179,85705,103,12670,9804,8468,107007,97
180,inst-180,70623,288,14053,10409,16065,81912,122
181,inst-181,77304,267,13632,12242,5844,129258,204
182,inst-182,70826,5,3492,2533,7248,106455,142
183,inst-183,84438,146,0,5784,9192,116699,139
184,inst-184,76484,176,9815,12970,9527,41971,164
185,inst-185,41379,306,13408,18117,3605,203721,212
186,inst-186,73690,2557,7194,0,7176,15393,195
187,inst-187,78554,327,10035,5697,7563,40699,231
188,inst-188,67970,314,9608,6818,6374,49417,230
189,inst-189,76381,71,1761,22134,9152,165796,193
190,inst-190,6795,5,14313,17044,8150,143264,182
191,inst-191,84635,71,15600,7979,3285,118295,171
192,inst-192,71139,16,9360,6392,5067,15866,93
193,inst-193,31081,237,17469,10058,10816,98900,117
194,inst-194,2935,242,4772,6979,9086,0,126
195,inst-195,83907,56,15998,12948,11019,23227,192
196,inst-196,83136,45,14429,15706,12479,144508,125
197,inst-197,83633,78,18895,7203,14855,31063,158
198,inst-198,75687,279,6530,10335,5634,56728,229
199,inst-199,47408,5,7889,1792,9299,90875,128
200,inst-200,75551,250,10188,16191,21045,97881,132
201,inst-201,47943,264,14323,9937,14031,0,96
202,inst-202,76356,266,14321,894,6106,171656,233
203,inst-203,79602,254,12888,3022,7542,201972,216
204,inst-204,72561,267,7724,8286,9219,67256,181
205,inst-205,43486,124,8165,1627,5902,78822,229
206,inst-206,78478,81,3066,753,0,16567,165
207,inst-207,79802,5,10452,9007,9907,112721,148
208,inst-208,77446,104,14981,16228,6556,100161,292
209,inst-209,69540,193,1926,8046,10393,128403,174
210,inst-210,83772,191,13524,6793,10228,125998,133
211,inst-211,83127,278,15660,18134,20336,80910,63
212,inst-212,77265,152,15534,10064,11550,69826,182
213,inst-213,76895,233,8948,7350,1208,98416,172
214,inst-214,81039,296,2424,1599,12745,167623,103
215,inst-215,69792,186,10083,14930,16324,105206,204
216,inst-216,3995,144,5941,6853,15615,115319,132
217,inst-217,83765,5,9743,7873,0,67607,54
218,inst-218,75407,59,16610,0,7407,170028,199
219,inst-219,81693,300,12254,8605,7233,103146,141
220,inst-220,81156,202,7338,12903,6335,64189,205
221,inst-221,81190,5,12788,1983,19601,160243,134
222,inst-222,82099,201,9569,566,9256,107667,176
223,inst-223,77535,93,9062,4721,15591,77989,255
224,inst-224,84385,282,11516,14337,8209,0,127
225,inst-225,78974,108,12822,17315,14354,187861,140
226,inst-226,84193,171,7309,5581,21148,78530,83
227,inst-227,72392,347,12073,13861,9065,11789,222
228,inst-228,5714,274,3961,10404,13090,110818,86
229,inst-229,80428,218,2933,13822,6745,108263,171
230,inst-230,77662,368,16314,4441,13490,86448,169
231,inst-231,83625,327,7094,6984,11910,78799,90
232,inst-232,78982,83,6828,9839,15408,76875,138
233,inst-233,72437,170,4714,7223,14488,167521,69
234,inst-234,80846,222,16943,5230,8359,138780,50
235,inst-235,64029,325,15574,8062,17937,43659,121
236,inst-236,30851,151,6173,11963,9303,23801,62
237,inst-237,78247,5,3156,12979,12148,135339,168
238,inst-238,71678,250,15824,6409,9376,90648,103
239,inst-239,74298,151,10455,4826,4596,35218,70
240,inst-240,80314,358,7775,7945,7153,70599,111
241,inst-241,72399,5,5922,15036,23136,70083,155
242,inst-242,82637,433,4151,12426,9558,44724,161
243,inst-243,71986,98,12935,9923,9403,119999,180
244,inst-244,18678,5,10365,5313,14907,66019,160
245,inst-245,86256,190,911,7079,12306,36103,76
246,inst-246,39133,297,4560,13474,12807,13281,166
247,inst-247,75279,150,8082,11243,12758,112418,165
248,inst-248,81148,299,4451,4833,21396,148726,50
249,inst-249,83528,117,9718,4701,10488,0,119
250,inst-250,44939,328,291,8315,12977,67401,222
251,inst-251,75610,143,5145,11488,2396,168296,114
252,inst-252,20318,229,12513,4430,317,123898,198
253,inst-253,76346,384,10973,13444,10795,52739,125
254,inst-254,37692,237,6290,11475,822,170967,214
255,inst-255,73297,129,8271,12983,7940,150823,224
256,inst-256,83993,100,8324,1386,12627,124019,136
257,inst-257,77778,236,10145,9173,8111,162647,101
258,inst-258,46422,51,11493,15798,9457,97071,125
259,inst-259,69829,157,12933,11792,14162,188482,177
260,inst-260,70302,122,8317,9464,17488,115635,146
261,inst-261,82161,5,15969,4615,15535,144915,136
262,inst-262,84360,222,16921,9989,7435,139339,182
263,inst-263,33506,306,12469,12062,12770,206873,154
264,inst-264,64764,144,4849,8771,15198,69019,50
265,inst-265,86238,5,201,9614,8373,44826,151
266,inst-266,8169,234,8628,10178,13242,22740,153
267,inst-267,69732,5,14626,5465,15708,111287,198
268,inst-268,85230,104,13457,11642,8623,65116,173
269,inst-269,73242,172,8168,7157,1858,98186,112
270,inst-270,79376,114,10841,10321,708,196329,79
271,inst-271,76099,5,20223,12260,8689,75074,204
272,inst-272,73208,230,2157,13660,7337,94513,205
273,inst-273,85316,190,14381,13400,12309,32984,50
274,inst-274,60837,156,15034,18223,11655,106768,150
275,inst-275,73691,325,5514,18216,16960,55106,200
276,inst-276,70387,136,9669,9199,10671,101628,120
277,inst-277,71000,243,12910,14479,6931,77248,168
278,inst-278,57231,5,7687,10734,11249,52558,50
279,inst-279,74781,240,14294,15861,20628,0,116
280,inst-280,73500,71,7131,12793,14137,152158,133
281,inst-281,83679,271,12791,17654,0,138958,157
282,inst-282,78585,50,9882,10603,11551,149655,86
283,inst-283,81570,288,14526,16675,11275,116285,186
284,inst-284,75872,167,13912,0,11230,71412,136
285,inst-285,83836,294,10687,10868,15819,136526,114
286,inst-286,75608,350,16729,10704,4774,56570,189
287,inst-287,86236,227,7567,7787,2815,87312,143
288,inst-288,75735,58,9544,4885,12497,66468,283
289,inst-289,66867,233,17166,7972,11734,65030,50
290,inst-290,72759,73,8687,5812,9182,60435,153
291,inst-291,75361,218,16822,8508,6653,82269,179
292,inst-292,83094,83,19478,14385,8693,131820,131
293,inst-293,80553,52,9159,5441,9676,114498,198
294,inst-294,84513,77,1273,14206,1352,91603,108
295,inst-295,85485,226,7164,5794,8891,94085,219
296,inst-296,55029,167,0,9734,8644,0,144
297,inst-297,33935,249,10400,8657,5830,182263,174
298,inst-298,71220,117,7421,13744,15184,151147,155
299,inst-299,26117,343,5275,13893,13712,117865,229
